Identificativo univoco del prodotto (della versione master);ID prodotto;Handle (della versione master);Status di validazione;Titolo;Anno di pubblicazione;Data di creazione;Data Ahead of Print;Tipologia (definita da IRIS);Tipologia (collezione);Sottotipologia;Status di pubblicazione;Presenza coautori internazionali;Tutti gli autori/Curatori;Nr autori/Curatori (numero);contributors: autori/curatori di journal/serie di fascia A;Rilevanza nazionale/internazionale;Tipo di referaggio;Carattere della pubblicazione;SSD del prodotto;Lingua (codice);Rivista/Serie: ISSN;URL;DOI;Formato;codice: ISBN;Abstract;Parole chiave;brevetto: Data di deposito;Centro di ricerca;autore: ID persona (IRIS);Parole chiave - ERC (concatenazione) - autore;scopus: Nr citazioni;wos: Identificativo;scopus: Identificativo;wos: Nr citazioni;wos: affiliations;u-gov: Classificazione ausiliaria 1;wos: Valore Impact factor;Presenza Impact Factor (indicato nei metadati- manuale);wos: Valore Impact factor (riferito all'ultimo anno disponibile)
28508;28508;2318/7087;Validazione non prevista (pubblicato);Coccidia (Eimeridae) of Sylvilagus floridanus in Italy: presence and space - temporal distribution.;2002;;;info:eu-repo/semantics/article;03A-Articolo su Rivista;;;;"POGLAYEN G.; P. MENEGUZ; TIZZANI P.; GAGLIO G.; MUNAÒ F.; ZIRILLI A.";6;;Internazionale;;;;eng;0048-2951;;;;;;;;;27782;;;;;;;;;;
28900;28900;2318/7339;Validazione non prevista (pubblicato);Matematica e filatelia;2002;;;info:eu-repo/semantics/article;03A-Articolo su Rivista;;;;A. Mori;1;;Nazionale;Sì, ma tipo non specificato;;;ita;0392-4033;;;;;;;;;19687;;;;;;;;;si;
28901;28901;2318/7340;Validazione non prevista (pubblicato);Power series expansions of modular forms at CM points;1995;;;info:eu-repo/semantics/article;03A-Articolo su Rivista;;;;A. MORI;1;;Internazionale;Sì, ma tipo non specificato;;;eng;0373-1243;;;;;;;;;19687;;;;;;;;;si;
29242;29242;2318/7816;Validazione non prevista (pubblicato);Building iteration trees;1991;;;info:eu-repo/semantics/article;03A-Articolo su Rivista;;;;A. ANDRETTA;1;;Internazionale;Sì, ma tipo non specificato;;;eng;0022-4812;;;;;si dimostra, sotto l'ipotesi di cardinali di Woodin, che ogni albero con un ramo cofinale può essere realizzato come albero di iterazione in modo che il limite diretto lungo il ramo cofinale sia ben fondato.;"teoria degli insiemi; grandi cardinali; modelli interni";;;18813;;;;;;;;;si;0.5
29243;29243;2318/7817;Validazione non prevista (pubblicato);Large cardinals and iteration trees of height $\omega$;1991;;;info:eu-repo/semantics/article;03A-Articolo su Rivista;;;;A. ANDRETTA;1;;Internazionale;Sì, ma tipo non specificato;;;eng;0168-0072;;;;;Si dimostra che se esiste un cardinale di Woodin nell'ammissibile successivo, allora ogni albero numerabile di altezza omega con un ramo infinito può essere realizzato come albero di iterazione, di modo che il limite diretto lungo il ramo prescelto sia ben fondato.;"teoria degli insiemi; grandi cardinali; modelli interni";;;18813;;;;;;;;;si;0.6
29244;29244;2318/7819;Validazione non prevista (pubblicato);How to win some simple iteration games;1997;;;info:eu-repo/semantics/article;03A-Articolo su Rivista;;;;"A. ANDRETTA; STEEL JOHN";2;;Internazionale;Sì, ma tipo non specificato;;;ita;0168-0072;;;;;si dimostra un risultato di iterabilità che garantisce un `comparison process' per modelli interni nella regione dei cardinali `strong' al di sopra di un cardinale di Woodin;"teoria degli insiemi; grandi cardinali; modelli interni";;;18813;;;;;;;;;si;0.6
29245;29245;2318/7818;Validazione non prevista (pubblicato);Ordinary differential equations and descriptive set theory: uniqueness and globality of solutions of Cauchy problems in one dimension.;1997;;;info:eu-repo/semantics/article;03A-Articolo su Rivista;;;;"A. ANDRETTA; MARCONE ALBERTO";2;;Internazionale;Sì, ma tipo non specificato;;;eng;0016-2736;;;;;Si classificano dal punto di vista della complessità strutturale alcuni tipi di `problemi di Cauchy';"teoria descrittiva degli insiemi; equazioni differenziali ordinarie";;;18813;;;;;;;;;si;0.5
29246;29246;2318/7820;Validazione non prevista (pubblicato);Projective sets and ordinary differential equations.;2001;;;info:eu-repo/semantics/article;03A-Articolo su Rivista;;;;"A. ANDRETTA; MARCONE ALBERTO";2;;Internazionale;Sì, ma tipo non specificato;;;eng;0002-9947;;;;;Si dimostra che la classificazione descrittiva di vari tipi di problemi di Cauchy di dimensione superiore è essenzialmente più complessa della classificazione degli analoghi problemi unidimansionali.;"teoria descrittiva degli insiemi; equazioni differenziali ordinarie";;;18813;;;;;;;;0.6;si;1.2
29247;29247;2318/7821;Validazione non prevista (pubblicato);Conjugacy equivalence of subgroups;2001;;;info:eu-repo/semantics/article;03A-Articolo su Rivista;;;;"A. ANDRETTA; CAMERLO RICCARDO; HJORTH GREG";3;;Internazionale;Sì, ma tipo non specificato;;;eng;0016-2736;;;;;Si dimostra che se G è un gruppo numerabile che contiene F_2, la relazione di coniugio sui sottogruppi di G è unievrsale per le relazioni di equivalenza Boreliane e numerabili.;"teoria descrittiva degli insiemi; relazioni di equivalenza Boreliane; gruppi liberi";;;18813;;;;;;;;0.3;si;0.5
29248;29248;2318/7822;Validazione non prevista (pubblicato);Definability in function spaces;2001;;;info:eu-repo/semantics/article;03A-Articolo su Rivista;;;;"A. ANDRETTA; MARCONE  ALBERTO";2;;Internazionale;Sì, ma tipo non specificato;;;eng;0147-1937;;;;;Si dimostra che se X è Polacco ma non sigma-compatto, gli spazi L^p(X) sono Pi^1_1-completi.;"descriptive set theory; function spaces";;;18813;;;;;;;;;;
29249;29249;2318/7823;Validazione non prevista (pubblicato);The domestic levels of $K^c$ are iterable;2001;;;info:eu-repo/semantics/article;03A-Articolo su Rivista;;;;"A. ANDRETTA; NEEMAN  ITAY; STEEL  JOHN";3;;Internazionale;Sì, ma tipo non specificato;;;eng;0021-2172;;;;;Si dimostra un risultato di iterabilità che consente di costruire un `background-certified core model' nella regione dei cardinali `AD_R'. Come corollario ne consegue che PFA + un cardinale misurabile ha una consistenza di almeno AD_R.;"teoria degli insiemi; grandi cardinali; modelli interni";;;18813;;;;;;;;0.545;si;0.8
29250;29250;2318/7824;Validazione non prevista (pubblicato);Pointwise convergence and the Wadge hierarchy;2001;;;info:eu-repo/semantics/article;03A-Articolo su Rivista;;;;"A. ANDRETTA; MARCONE  ALBERTO";2;;Internazionale;Sì, ma tipo non specificato;;;eng;0010-2628;;;;;"Si studia la complessità di C_p(X) quando X non è sigma-compatto.
In questo caso si ottiene che lo spazio è Pi^1_1-completo.";"teoria descrittiva degli insiemi; spazi di funzioni";;;18813;;;;;;;;;si;
29251;29251;2318/7825;Validazione non prevista (pubblicato);Equivalence between Wadge and Lipschitz determinacy;2003;;;info:eu-repo/semantics/article;03A-Articolo su Rivista;;;;A. ANDRETTA;1;;Internazionale;Sì, ma tipo non specificato;;;eng;0168-0072;;;;;si dimostra che varie versioni della determinatezza di Wadge sono equivalenti.;"teoria descrittiva degli insiemi; gerarchia di Wadge";;;18813;;;;;;;;0.553;si;0.6
29252;29252;2318/7826;Validazione non prevista (pubblicato);Borel-Wadge degrees;2003;;;info:eu-repo/semantics/article;03A-Articolo su Rivista;;;;"A. ANDRETTA; MARTIN D.A.";2;;Internazionale;Sì, ma tipo non specificato;;;eng;0016-2736;;;;;Si dimostra che la nozione di riducibilità mediante funzioni Boreliane ha la stassa  struttura della gerarchia di Wadge.;"teoria descrittiva degli insiemi; gerarchia di Wadge";;;18813;;;;;;;;0.391;si;0.5
29253;29253;2318/7827;Validazione non prevista (pubblicato);Risultati di assolutezza in teoria degli insiemi (parte prima);2003;;;info:eu-repo/semantics/article;03A-Articolo su Rivista;;;;A. ANDRETTA;1;;Nazionale;Sì, ma tipo non specificato;;;ita;0392-4033;;;;;si descrive l'uso dei teoremi di assolutezza in matematica;teoria degli insiemi;;;18813;;;;;;;;;no;
29254;29254;2318/7828;Validazione non prevista (pubblicato);Risultati di assolutezza in teoria degli insiemi (parte seconda);2003;;;info:eu-repo/semantics/article;03A-Articolo su Rivista;;;;A. ANDRETTA;1;;Nazionale;Sì, ma tipo non specificato;;;ita;0392-4033;;;;;si descrive l'uso dei teoremi di assolutezza in matematica;teoria degli insiemi;;;18813;;;;;;;;;no;
29255;29255;2318/7829;Validazione non prevista (pubblicato);The use of complexity hierarchies in descriptive set theory and automata theory;2005;;;info:eu-repo/semantics/article;03A-Articolo su Rivista;;;;"A. Andretta; R. Camerlo";2;;Internazionale;Sì, ma tipo non specificato;;;eng;1428-6394;;;;;si illustra la relazione di riducibiità tra struttura, con particolare enfasi sulla gerarchia di Wadge.;"teoria descrittiva degli insiemi; gerarchia di Wadge";;;18813;;;;;;;;;no;
29256;29256;2318/7840;Validazione non prevista (pubblicato);More on Wadge Determinacy;2006;;;info:eu-repo/semantics/article;03A-Articolo su Rivista;;;;A. Andretta;1;;;Esperti anonimi;;;eng;0168-0072;;;;;"Si dimostra che la determinatezza di Wadge è equivalente ad una sua versione più debole e si caratterizza la struttura della gerarchia Delta^0_2. We show that the semi-linear ordering principle for continuous functions implies the determinacy of all Wadge and Lipschitz
games.";"teoria descrittiva degli insiemi; gerarchia di Wadge";;;18813;;;;;;;;0.582;;0.6
29426;29426;2318/8093;Validazione non prevista (pubblicato);Applying Artificial Intelligence to clinical guidelines: the GLARE approach;2003;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;;"TERENZIANI P; MONTANI S; BOTTRIGHI A; TORCHIO M; MOLINO G; L. ANSELMA; CORRENDO G";7;;Internazionale;;;;eng;;http://www.springerlink.com/content/pq1rt58tg1m9dpj4/#search=%22applying%20artificial%20intelligence%20to%20clinical%20guidelines%3a%20the%20glare%20approach%22;10.1007/b13658;;9783540201199;In this paper, we present GLARE, a domain-independent system for acquiring, representing and executing clinical guidelines. GLARE is characterized by the adoption of Artificial Intelligence (AI) techniques at different levels in the definition and implementation of the system. First of all, a high-level and user-friendly knowledge representation language has been designed, providing a set of representation primitives. Second, a user-friendly acquisition tool has been designed and implemented, on the basis of the knowledge representation formalism. The acquisition tool provides various forms of help for the expert physicians, including different levels of syntactic and semantic tests in order to check the lsquolsquowell-formednessrsquorsquo of the guidelines being acquired. Third, a tool for executing guidelines on a specific patient has been made available. The execution module provides a hypothetical reasoning facility, to support physicians in the comparison of alternative diagnostic and/or therapeutic strategies. Moreover, advanced and extended AI techniques for temporal reasoning and temporal consistency checking are used both in the acquisition and in the execution phase. The GLARE approach has been successfully tested on clinical guidelines in different domains, including bladder cancer, reflux esophagitis, and heart failure.;;;;10047;"PE6_7 - Artificial intelligence, intelligent systems, natural language processing (erc_2022) ; PE6_10 - Web and information systems, data management systems, information retrieval and digital libraries, data fusion (erc_2022)";14;WOS:000187957100044;2-s2.0-7444232043;9;;;;si;
29578;29578;2318/7898;Validazione non prevista (pubblicato);Dealing with Different Languages and Old Profiles in Keystroke Analysis of Free Text;2005;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;no;"D. GUNETTI; C. PICARDI; G. RUFFO";3;;Internazionale;Sì, ma tipo non specificato;;;eng;;;10.1007/11558590_36;;9783540290414;In this paper we show experimentally that typing dynamics of free text provide useful information for user identiﬁcation and authentication even when a long time has passed since typing proﬁles of users were formed, and even when users are writing in a language different from the one used to form their proﬁles. Hence, we argue that keystroke analysis can be an effective aid in different areas where ascertaining user identity is important or crucial, including Computer Security and User Modeling.;;;;17847;;12;WOS:000233291300036;2-s2.0-33646142774;9;;2 - Congresso;;si;
29578;29578;2318/7898;Validazione non prevista (pubblicato);Dealing with Different Languages and Old Profiles in Keystroke Analysis of Free Text;2005;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;no;"D. GUNETTI; C. PICARDI; G. RUFFO";3;;Internazionale;Sì, ma tipo non specificato;;;eng;;;10.1007/11558590_36;;9783540290414;In this paper we show experimentally that typing dynamics of free text provide useful information for user identiﬁcation and authentication even when a long time has passed since typing proﬁles of users were formed, and even when users are writing in a language different from the one used to form their proﬁles. Hence, we argue that keystroke analysis can be an effective aid in different areas where ascertaining user identity is important or crucial, including Computer Security and User Modeling.;;;;19001;;12;WOS:000233291300036;2-s2.0-33646142774;9;;2 - Congresso;;si;
29579;29579;2318/7899;Validazione non prevista (pubblicato);Temporal Decision Trees for Diagnosis:An Extension;2003;;;info:eu-repo/semantics/conferenceObject;04B-Conference paper in rivista;;;;C. PICARDI;1;;Internazionale;Sì, ma tipo non specificato;;;eng;0302-9743;;10.1007/978-3-540-39853-0_2;;;Model-Based Diagnosis often cannot be directly exploited for embedded software, which must run with very strict constraints on memory and time. It is however possible to compile the knowledge explicited by a model-based diagnostic engine into a decision tree that serves as the basis for on-board diagnostic software. In order to exploit temporal information possibly present in the model, temporal decision trees for diagnosis have been introduced. This paper presents an extension to the temporal decision trees framework that widens its applicability.;;;;17847;;0;WOS:000187957100002;2-s2.0-7444254802;0;;;;si;0.513
29676;29676;2318/8397;Validazione non prevista (pubblicato);Call-by-Value Solvability;1999;;;info:eu-repo/semantics/article;03A-Articolo su Rivista;;;no;"L. PAOLINI;  S. RONCHI DELLA ROCCA";2;;Internazionale;Sì, ma tipo non specificato;;;eng;0988-3754;"http://www.di.unito.it/~paolini/; https://doi.org/10.1051/ita:1999130";10.1051/ita:1999130;;;The notion of solvability in the call-by-value $lambda$-calculus is defined and completely characterized, both from an operational and a logical point of view. The operational characterization is given through a reduction machine, performing the classical $eta$-reduction, according to an innermost strategy. In fact, it turns out that the call-by-value reduction rule is too weak for capturing the solvability property of terms. The logical characterization is given through an intersection type assignment system, assigning types of a given shape to all and only the call-by-value solvable terms.;"Models of computations; lambda-calculus; call-by-value.";;;11094;"PE1_1 - Logic and foundations (erc_2022) ; PE6_3 - Software engineering, programming languages and systems (erc_2022) ; PE6_4 - Theoretical computer science, formal methods, automata (erc_2022) ; PE6_14 - Quantum computing (formal methods, algorithms and other computer science aspects) (erc_2022)";41;WOS:000085821000002;2-s2.0-0342520898;26;;;;si;0.2
29677;29677;2318/8398;Validazione non prevista (pubblicato);Lazy strong normalization;2005;;;info:eu-repo/semantics/conferenceObject;04B-Conference paper in rivista;;;;"L. PAOLINI; E. PIMENTEL; S. RONCHI DELLA ROCCA";3;;Internazionale;Esperti anonimi;;;eng;1571-0661;http://www.sciencedirect.com/science?_ob=ArticleURL&_udi=B75H1-4GK8BG8-6&_user=525216&_rdoc=1&_fmt=&_orig=search&_sort=d&view=c&_version=1&_urlVersion=0&_userid=525216&md5=ad8450b9d695c7eefce89c5ca2a0f597;10.1016/j.entcs.2005.06.013;;;"Among all the reduction strategies for the untyped λ-calculus, the so called lazy β-evaluation is of particular interest due to its large applicability to functional programming languages (e.g. Haskell [Bird, R., “Introduction to Functional Programming using Haskell,” Series in Computer Science (2nd edition), Prentice Hall, (1998)]). This strategy reduces only redexes not inside a lambda abstraction.

The lazy strongly β- normalizing terms are the λ-terms that don't have infinite lazy β-reduction sequences.

This paper presents a logical characterization of lazy strongly β-normalizing terms using intersection types. This characterization, besides being interesting by itself, allows an interesting connection between call-by-name and call-by-value λ-calculus.

In fact, it turns out that the class of lazy strongly β-normalizing terms coincides with that of call-by-value potentially valuable terms. This last class is of particular interest since it is a key notion for characterizing solvability in the call-by-value setting.";"λ-calculus; lazy evaluation; lazy strong normalization";;;11094;"PE1_1 - Logic and foundations (erc_2022) ; PE6_3 - Software engineering, programming languages and systems (erc_2022) ; PE6_4 - Theoretical computer science, formal methods, automata (erc_2022) ; PE6_14 - Quantum computing (formal methods, algorithms and other computer science aspects) (erc_2022)";6;WOS:000232244900004;2-s2.0-21744457828;0;;1 - Conferenza;;;
29678;29678;2318/8399;Validazione non prevista (pubblicato);Call-by-Value Separability and Computability;2001;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;no;L. PAOLINI;1;;Internazionale;Esperti anonimi;;;eng;0302-9743;"http://www.di.unito.it/~paolini/; https://link.springer.com/chapter/10.1007/3-540-45446-2_5";10.1007/3-540-45446-2_5;;"9783540426721; 9783540454465";"The aim of this paper is to study the notion of separability in the call-by-value setting.
Separability is the key notion used in the Böhm Theorem, proving that syntactically different βη-normal forms are separable in the classical λ-calculus endowed with β-reduction, i.e. in the call-by-name setting.
In the case of call-by-value λ-calculus endowed with β v-reduction and η v-reduction (see Plotkin [7]), it turns out that two syntactically different βη v-normal forms are separable too, while the notion of β v-normal form and βη v-normal form is semantically meaningless.
An explicit representation of Kleene’s recursive functions is presented. The separability result guarantees that the representation makes sense in every consistent theory of call-by-value, i.e. theories in which not all terms are equals";;;;11094;"PE1_1 - Logic and foundations (erc_2022) ; PE6_3 - Software engineering, programming languages and systems (erc_2022) ; PE6_4 - Theoretical computer science, formal methods, automata (erc_2022) ; PE6_14 - Quantum computing (formal methods, algorithms and other computer science aspects) (erc_2022)";19;;2-s2.0-33745780986;;;1 - Conferenza;0.415;si;0.513
29762;29762;2318/8379;Validazione non prevista (pubblicato);Nonlinear (2+1)-dimensional field equations from incomplete Lie algebra structures.;2002;;;info:eu-repo/semantics/article;03A-Articolo su Rivista;;;;"M. PALESE; WINTERROTH E.";2;;Internazionale;Sì, ma tipo non specificato;;;eng;0370-2693;;;;;;;;;18454;;9;;2-s2.0-0037129331;;;;4.298;si;4.3
29763;29763;2318/8380;Validazione non prevista (pubblicato);Gauge-natural field theories and Noether Theorems: canonical covariant conserved currents;2006;;;info:eu-repo/semantics/article;03A-Articolo su Rivista;;;;"M. PALESE; E. WINTERROTH";2;;Internazionale;Sì, ma tipo non specificato;;;eng;1592-9531;;;;;;;;;18454;;440;;2-s2.0-27744598497;;;;;no;
29764;29764;2318/8381;Validazione non prevista (pubblicato);Some aspects of the homogeneous formalism in Field Theory and gauge invariance;2006;;;info:eu-repo/semantics/article;03A-Articolo su Rivista;;;;"M. PALESE; E. WINTERROTH";2;;Internazionale;Sì, ma tipo non specificato;;;eng;0044-8753;;;;;;;;;18454;;0;;2-s2.0-84873507226;;;;;;
29765;29765;2318/8382;Validazione non prevista (pubblicato);On a class of polynomial Lagrangians;2001;;;info:eu-repo/semantics/article;03A-Articolo su Rivista;;;;"M. PALESE; VITOLO R";2;;Internazionale;Sì, ma tipo non specificato;;;eng;1592-9531;;;;;;;;;18454;;;;;;;;;;
29766;29766;2318/8383;Validazione non prevista (pubblicato);Global Generalized Bianchi Identities for Invariant Variational Problems on Gauge-natural Bundles;2005;;;info:eu-repo/semantics/article;03A-Articolo su Rivista;;;;"M. PALESE; E. WINTERROTH";2;;Internazionale;Sì, ma tipo non specificato;;;eng;0044-8753;;;;;;;;;18454;;19;;2-s2.0-27644587437;;;;;;
29767;29767;2318/102242;Validazione non prevista (pubblicato);Covariant gauge-natural conservation laws;2004;;;info:eu-repo/semantics/article;03A-Articolo su Rivista;;;;"M. PALESE; E. WINTERROTH";2;;Internazionale;Sì, ma tipo non specificato;;;eng;0034-4877;;;;;"When a gauge-natural invariant variational principle is
assigned, to determine canonical covariant conservation laws, 
the vertical part of
gauge-natural lifts of infinitesimal principal automorphisms -- 
defining infinitesimal
variations of sections of gauge-natural bundles -- must satisfy 
generalized Jacobi equations
for the gauge-natural invariant Lagrangian. Vice versa all vertical parts of gauge-natural lifts of infinitesimal principal automorphisms which are in the kernel of
generalized Jacobi morphisms are generators of canonical covariant currents and
superpotentials. In particular, only a few gauge-natural lifts can be considered as 
canonical generators of covariant
gauge-natural physical charges.";;;;18454;;19;WOS:000225845600004;2-s2.0-17644378375;17;;;0.625;si;1
29768;29768;2318/8384;Validazione non prevista (pubblicato);Generalized Bianchi identities in gauge-natural field theories and the curvature of variational principles;2005;;;info:eu-repo/semantics/article;03A-Articolo su Rivista;;;;"Francaviglia, Mauro; Palese, Marcella; Winterroth, Ekkehart Hans Konrad";3;;Internazionale;Sì, ma tipo non specificato;;;eng;0034-4877;;;;;;;;;18454;;4;WOS:000231346100002;2-s2.0-28344450490;6;;;0.606;si;1
29769;29769;2318/8385;Validazione non prevista (pubblicato);Baecklund loop algebras for compact and non-compact nonlinear spin models in (2+1) dimensions;2005;;;info:eu-repo/semantics/article;03A-Articolo su Rivista;;;;M. PALESE;1;;Internazionale;Sì, ma tipo non specificato;;;eng;0040-5779;;;;;;;;;18454;;6;;2-s2.0-23044512031;;;;0.569;si;1
29770;29770;2318/8386;Validazione non prevista (pubblicato);Algebraic properties of the 1+1 dimensional Heisenberg spin field model;1994;;;info:eu-repo/semantics/article;03A-Articolo su Rivista;;;;"Alfinito, E; Leo, M; LEO R., A; Palese, Marcella; Soliani, G.";5;;Internazionale;Sì, ma tipo non specificato;;;eng;0377-9017;;;;;;;;;18454;;4;WOS:A1994PM56300007;2-s2.0-0009015120;4;;;;si;1.3
29771;29771;2318/8387;Validazione non prevista (pubblicato);Integrable nonlinear field equations and loop algebra structures;1995;;;info:eu-repo/semantics/article;03A-Articolo su Rivista;;;;"Alfinito, E; Leo, M; LEO R., A; Palese, Marcella; Soliani, G.";5;;Internazionale;Sì, ma tipo non specificato;;;eng;0370-2693;;;;;;;;;18454;;4;WOS:A1995RF36600019;2-s2.0-0008975188;4;;;;si;4.3
29772;29772;2318/8388;Validazione non prevista (pubblicato);The relation beetween the Jacobi Morphism and the Hessian in gauge-natural field theories;2007;;;info:eu-repo/semantics/article;03A-Articolo su Rivista;;;;"M. PALESE; E. WINTERROTH";2;;Internazionale;Sì, ma tipo non specificato;;;eng;0040-5779;;;;;;;;;18454;;15;;2-s2.0-34548460310;;;;0.622;si;1
30175;30175;2318/8693;Validazione non prevista (pubblicato);A simple approach to the problem of defect localization in an elastic body;2001;;;info:eu-repo/semantics/article;03A-Articolo su Rivista;;;;"CERMELLI P.; F. PASTRONE";2;;Internazionale;Sì, ma tipo non specificato;;;eng;0020-7462;;doi:10.1016/S0020-7462(00)00081-0;;;;;;;15931;;0;WOS:000165857900011;2-s2.0-0035343059;0;;;0.762;si;2.8
30181;30181;2318/8699;Validazione non prevista (pubblicato);Nonlinear waves  in 1-D solids with microstructure;2004;;;info:eu-repo/semantics/article;03A-Articolo su Rivista;;;;"F. Pastrone; P. Cermelli; A.V. Porubov";3;;Internazionale;Sì, ma tipo non specificato;;;eng;1605-2730;;;;;;;;;15931;;14;;2-s2.0-4944262061;;;;;no;
30407;30407;2318/9096;Validazione non prevista (pubblicato);Dai moti alle rappresentazioni simboliche: un’esperienza nella scuola elementare;2004;;;info:eu-repo/semantics/article;03A-Articolo su Rivista;;;;"O. Robutti; S. Ghirardi";2;;Nazionale;Sì, ma tipo non specificato;;;ita;1123-7570;;;;;;;;;17134;"SH3_11 - Social aspects of teaching and learning, curriculum studies, education and educational policies (erc_2022) ; SH3_5 - Attitudes and beliefs (erc_2022) ; SH3_7 - Kinship; diversity and identities, gender, interethnic relations (erc_2022) ; SH3_14 - Social studies of science and technology (erc_2022) ; SH3_12 - Communication and information, networks, media (erc_2022) ; PE1_1 - Logic and foundations (erc_2022)";;;;;;;;no;
30409;30409;2318/9097;Validazione non prevista (pubblicato);Matematica. Maturità scientifica;1994;;;info:eu-repo/semantics/article;03A-Articolo su Rivista;;;;"O. ROBUTTI; LEONE B";2;;Nazionale;Sì, ma tipo non specificato;;;ita;1828-4582;;;;;;;;;17134;"SH3_11 - Social aspects of teaching and learning, curriculum studies, education and educational policies (erc_2022) ; SH3_5 - Attitudes and beliefs (erc_2022) ; SH3_7 - Kinship; diversity and identities, gender, interethnic relations (erc_2022) ; SH3_14 - Social studies of science and technology (erc_2022) ; SH3_12 - Communication and information, networks, media (erc_2022) ; PE1_1 - Logic and foundations (erc_2022)";;;;;;;;;
30410;30410;2318/9099;Validazione non prevista (pubblicato);Matematica. Maturità scientifica;1995;;;info:eu-repo/semantics/article;03A-Articolo su Rivista;;;;"NOLLI N; O. ROBUTTI";2;;Nazionale;Sì, ma tipo non specificato;;;ita;1828-4582;;;;;;;;;17134;"SH3_11 - Social aspects of teaching and learning, curriculum studies, education and educational policies (erc_2022) ; SH3_5 - Attitudes and beliefs (erc_2022) ; SH3_7 - Kinship; diversity and identities, gender, interethnic relations (erc_2022) ; SH3_14 - Social studies of science and technology (erc_2022) ; SH3_12 - Communication and information, networks, media (erc_2022) ; PE1_1 - Logic and foundations (erc_2022)";;;;;;;;;
30411;30411;2318/9098;Validazione non prevista (pubblicato);La "matematica" del P.N.I.;1994;;;info:eu-repo/semantics/article;03A-Articolo su Rivista;;;;"O. ROBUTTI; LEONE B";2;;Nazionale;Sì, ma tipo non specificato;;;ita;1828-4582;;;;;;;;;17134;"SH3_11 - Social aspects of teaching and learning, curriculum studies, education and educational policies (erc_2022) ; SH3_5 - Attitudes and beliefs (erc_2022) ; SH3_7 - Kinship; diversity and identities, gender, interethnic relations (erc_2022) ; SH3_14 - Social studies of science and technology (erc_2022) ; SH3_12 - Communication and information, networks, media (erc_2022) ; PE1_1 - Logic and foundations (erc_2022)";;;;;;;;;
30412;30412;2318/9123;Validazione non prevista (pubblicato);Matematica. Maturità PNI;1995;;;info:eu-repo/semantics/article;03A-Articolo su Rivista;;;;"NOLLI N; O. ROBUTTI";2;;Nazionale;Sì, ma tipo non specificato;;;mac;1828-4582;;;;;;;;;17134;"SH3_11 - Social aspects of teaching and learning, curriculum studies, education and educational policies (erc_2022) ; SH3_5 - Attitudes and beliefs (erc_2022) ; SH3_7 - Kinship; diversity and identities, gender, interethnic relations (erc_2022) ; SH3_14 - Social studies of science and technology (erc_2022) ; SH3_12 - Communication and information, networks, media (erc_2022) ; PE1_1 - Logic and foundations (erc_2022)";;;;;;;;;
30413;30413;2318/9124;Validazione non prevista (pubblicato);Matematica PNI. Maturità scientifica sperimentale;1996;;;info:eu-repo/semantics/article;03A-Articolo su Rivista;;;;"NOLLI N; O. ROBUTTI";2;;Nazionale;Sì, ma tipo non specificato;;;ita;1828-4582;;;;;;;;;17134;"SH3_11 - Social aspects of teaching and learning, curriculum studies, education and educational policies (erc_2022) ; SH3_5 - Attitudes and beliefs (erc_2022) ; SH3_7 - Kinship; diversity and identities, gender, interethnic relations (erc_2022) ; SH3_14 - Social studies of science and technology (erc_2022) ; SH3_12 - Communication and information, networks, media (erc_2022) ; PE1_1 - Logic and foundations (erc_2022)";;;;;;;;;
30414;30414;2318/9125;Validazione non prevista (pubblicato);Insegnare a scrivere un tema di matematica;1996;;;info:eu-repo/semantics/article;03A-Articolo su Rivista;;;;"NOLLI N; O. ROBUTTI";2;;Nazionale;Sì, ma tipo non specificato;;;ita;1828-4582;;;;;;;;;17134;"SH3_11 - Social aspects of teaching and learning, curriculum studies, education and educational policies (erc_2022) ; SH3_5 - Attitudes and beliefs (erc_2022) ; SH3_7 - Kinship; diversity and identities, gender, interethnic relations (erc_2022) ; SH3_14 - Social studies of science and technology (erc_2022) ; SH3_12 - Communication and information, networks, media (erc_2022) ; PE1_1 - Logic and foundations (erc_2022)";;;;;;;;;
30415;30415;2318/9126;Validazione non prevista (pubblicato);Matematica PNI. Maturità scientifica sperimentale;1996;;;info:eu-repo/semantics/article;03A-Articolo su Rivista;;;;"NOLLI N; O. ROBUTTI";2;;Nazionale;Sì, ma tipo non specificato;;;ita;1828-4582;;;;;;;;;17134;"SH3_11 - Social aspects of teaching and learning, curriculum studies, education and educational policies (erc_2022) ; SH3_5 - Attitudes and beliefs (erc_2022) ; SH3_7 - Kinship; diversity and identities, gender, interethnic relations (erc_2022) ; SH3_14 - Social studies of science and technology (erc_2022) ; SH3_12 - Communication and information, networks, media (erc_2022) ; PE1_1 - Logic and foundations (erc_2022)";;;;;;;;;
